,Julian Day,Julian Day QC,Latitude,Longitude,Position QC,Pressure,Pressure QC,Temperature Adjusted,Temperature Adjusted QC,Temperature,Temperature QC,Salinity Adjusted,Salinity Adjusted QC,Salinity,Salinity QC,Oxygen,Oxygen QC,Nitrate,Nitrate QC,pH,pH QC,Yearday
26,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,55.79999923706055,1.0,20.958944247470328,1.0,20.9950008392334,1.0,35.75910435702957,1.0,35.590999603271484,1.0,216.39700317382812,1.0,-0.48421648144721985,1.0,8.060453414916992,1.0,130.32278936128296
29,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,61.79999923706055,1.0,20.778813027581727,1.0,20.81599998474121,1.0,35.7581081049264,1.0,35.59000015258789,1.0,211.9444580078125,1.0,-0.027727823704481125,1.0,8.050749778747559,1.0,130.32278936128296
31,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,65.80000305175781,1.0,20.67008048771497,1.0,20.70800018310547,1.0,35.75711687881533,1.0,35.5890007019043,1.0,211.5362091064453,1.0,0.016685359179973602,1.0,8.0472993850708,1.0,130.32278936128296
34,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,71.80000305175781,1.0,20.577523436050168,1.0,20.617000579833984,1.0,35.770175171435895,1.0,35.60200119018555,1.0,215.17266845703125,1.0,-0.45705652236938477,1.0,8.051589965820312,1.0,130.32278936128296
36,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,75.80000305175781,1.0,20.5823099777168,1.0,20.62299919128418,1.0,35.78425416249609,1.0,35.61600112915039,1.0,215.31903076171875,1.0,-0.36255496740341187,1.0,8.056536674499512,1.0,130.32278936128296
39,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,81.80000305175781,1.0,20.502443861424396,1.0,20.54400062561035,1.0,35.776206138252725,1.0,35.608001708984375,1.0,214.48020935058594,1.0,-0.2897488474845886,1.0,8.054580688476562,1.0,130.32278936128296
41,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,85.80000305175781,1.0,20.474787996174303,1.0,20.517000198364258,1.0,35.77320038127182,1.0,35.60499954223633,1.0,213.89804077148438,1.0,-0.2500062882900238,1.0,8.053844451904297,1.0,130.32278936128296
44,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,91.80000305175781,1.0,20.432790767121173,1.0,20.47599983215332,1.0,35.76919574641203,1.0,35.60100173950195,1.0,212.0905303955078,1.0,-0.013287674635648727,1.0,8.052214622497559,1.0,130.32278936128296
46,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,95.80000305175781,1.0,20.3333815977842,1.0,20.37700080871582,1.0,35.75915696247882,1.0,35.590999603271484,1.0,209.38426208496094,1.0,0.29009705781936646,1.0,8.047453880310059,1.0,130.32278936128296
49,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,101.80000305175781,1.0,20.250691185279052,1.0,20.295000076293945,1.0,35.746099080647056,1.0,35.577999114990234,1.0,205.9443359375,1.0,0.9508810639381409,1.0,8.040736198425293,1.0,130.32278936128296
